순번,코드,특보구역 명,
1,S1131100,울산앞바다,
2,S1131200,경북남부앞바다,
3,S1131300,경북북부앞바다,
4,S1132000,동해남부먼바다,
5,S1151100,강원북부앞바다,
6,S1151200,강원중부앞바다,
7,S1151300,강원남부앞바다,
8,S1152000,동해중부먼바다,
9,S1231100,전북북부앞바다,
10,S1231200,전북남부앞바다,
11,S1231300,전남북부서해앞바다,
12,S1231400,전남중부서해앞바다,
13,S1231500,전남남부서해앞바다,
14,S1232000,서해남부먼바다,
15,S1251100,인천·경기북부앞바다,
16,S1251200,인천·경기남부앞바다,
17,S1251300,충남북부앞바다,
18,S1251400,충남남부앞바다,
19,S1252000,서해중부먼바다,
20,S1311100,부산앞바다,
21,S1311200,경남서부남해앞바다,
22,S1311300,경남중부남해앞바다,
23,S1311400,거제시동부앞바다,
24,S1312000,남해동부먼바다,
25,S1321100,전남서부남해앞바다,
26,S1321200,전남동부남해앞바다,
27,S1322100,남해서부서쪽먼바다,
28,S1322200,남해서부동쪽먼바다,
29,S1323100,제주도북부앞바다,
30,S1323200,제주도동부앞바다,
31,S1323300,제주도남부앞바다,
32,S1323400,제주도서부앞바다,
33,S1324000,제주도남쪽먼바다,
34,S2110100,경북남부앞바다중 평수구역,
35,S2110200,울산앞바다중 평수구역,
36,S2120100,경북북부앞바다중 연안바다,
37,S2120200,경북북부앞바다중 영덕연안바다,
38,S2120300,경북남부앞바다중 연안바다,
39,S2120400,울산앞바다중 연안바다,
40,S2120500,강원중부앞바다중 연안바다,
41,S2120600,강원북부앞바다중 연안바다,
42,S2120700,강원남부앞바다중 연안바다,
43,S2120800,울릉도울릉읍연안바다,
44,S2120900,울릉도서면연안바다,
45,S2210100,전북북부앞바다중 평수구역,
46,S2210200,전북남부앞바다중 평수구역,
47,S2210300,전남북부서해앞바다중 평수구역,
48,S2210500,전남남부서해앞바다중 평수구역,
49,S2210600,충남북부앞바다중 평수구역,
50,S2210700,충남남부앞바다중 평수구역,
51,S2210800,인천·경기북부앞바다중 앞평수구역,
52,S2210900,인천·경기북부앞바다중 먼평수구역,
53,S2211000,인천·경기남부앞바다중 앞평수구역,
54,S2211100,인천·경기남부앞바다중 먼평수구역,
55,S2211200,서해남부먼바다중 조도부근평수구역,
56,S2211300,전남중부서해앞바다중 먼평수구역,
57,S2211400,전남중부서해앞바다중 앞평수구역,
58,S2211500,천수만 평수구역,
59,S2310100,부산앞바다중 동부평수구역,
60,S2310200,부산앞바다중 서부평수구역,
61,S2310300,경남중부남해앞바다중 평수구역,
62,S2310400,경남서부남해앞바다중 동부평수구역,
63,S2310500,경남서부남해앞바다중 서부평수구역,
64,S2310600,경남서부남해앞바다중 남부평수구역,
65,S2310700,전남서부남해앞바다중 평수구역,
66,S2310800,전남동부남해앞바다중 서부평수구역,
67,S2310900,전남동부남해앞바다중 동부평수구역,
68,S2320100,부산앞바다중 연안바다,
69,S2320200,거제시동부앞바다중 연안바다,
70,S2320300,경남서부남해앞바다중 남해군연안바다,
71,S2320400,제주도북부앞바다중 연안바다,
72,S2320600,제주도서부앞바다중 연안바다,
73,S2320700,제주도남부앞바다중 연안바다,
74,S2320800,경남중부남해앞바다중 연안바다,
75,S2320900,제주도동부앞바다중 북동연안바다,
76,S2321000,제주도동부앞바다중 남동연안바다,
77,S2330100,남해서부서쪽먼바다중 추자도연안바다,
78,S2330200,제주도동부앞바다중 우도연안바다,
79,S2330300,제주도서부앞바다중 가파도연안바다,
80,L1010100,서울,
81,L1010200,광명,
82,L1010300,과천,
83,L1010400,안산,
84,L1010500,시흥,
85,L1010600,부천,
86,L1010700,김포,
87,L1010800,인천,
88,L1010900,강화,
89,L1011100,동두천,
90,L1011200,연천,
91,L1011300,포천,
92,L1011400,가평,
93,L1011500,고양,
94,L1011600,양주,
95,L1011700,의정부,
96,L1011800,파주,
97,L1011900,수원,
98,L1012000,성남,
99,L1012100,안양,
100,L1012200,구리,
101,L1012300,남양주,
102,L1012400,오산,
103,L1012500,평택,
104,L1012600,군포,
105,L1012700,의왕,
106,L1012800,하남,
107,L1012900,용인,
108,L1013000,이천,
109,L1013100,안성,
110,L1013200,화성,
111,L1013300,여주,
112,L1013400,광주,
113,L1013500,양평,
114,L1013600,옹진,
115,L1014100,서해5도,
116,L1020110,강릉평지,
117,L1020210,동해평지,
118,L1020300,태백,
119,L1020410,삼척평지,
120,L1020510,속초평지,
121,L1020610,고성평지,
122,L1020710,양양평지,
123,L1020800,영월,
124,L1020910,평창평지,
125,L1021010,정선평지,
126,L1021100,횡성,
127,L1021200,원주,
128,L1021300,철원,
129,L1021400,화천,
130,L1021510,홍천평지,
131,L1021600,춘천,
132,L1021710,양구평지,
133,L1021810,인제평지,
134,L1025020,강원북부산지,
135,L1026020,강원중부산지,
136,L1027020,강원남부산지,
137,L1030100,대전,
138,L1030200,천안,
139,L1030300,공주,
140,L1030400,아산,
141,L1030500,논산,
142,L1030600,금산,
143,L1030800,부여,
144,L1030900,청양,
145,L1031000,예산,
146,L1031100,태안,
147,L1031200,당진,
148,L1031300,서산,
149,L1031400,보령,
150,L1031500,서천,
151,L1031600,홍성,
152,L1031700,계룡,
153,L1031800,세종,
154,L1050100,광주,
155,L1050200,나주,
156,L1050300,담양,
157,L1050400,곡성,
158,L1050500,구례,
159,L1050600,장성,
160,L1050700,화순,
161,L1050800,고흥,
162,L1050900,보성,
163,L1051000,여수,
164,L1051100,광양,
165,L1051200,순천,
166,L1051300,장흥,
167,L1051400,강진,
168,L1051500,해남,
169,L1051600,완도,
170,L1051700,영암,
171,L1051800,무안,
172,L1051900,함평,
173,L1052000,영광,
174,L1052100,목포,
175,L1052200,신안(흑산면제외),
176,L1052300,진도,
177,L1052500,흑산도.홍도,
178,L1052600,거문도.초도,
179,L1060100,고창,
180,L1060200,부안,
181,L1060300,군산,
182,L1060400,김제,
183,L1060500,완주,
184,L1060600,진안,
185,L1060700,무주,
186,L1060800,장수,
187,L1060900,임실,
188,L1061000,순창,
189,L1061100,익산,
190,L1061200,정읍,
191,L1061300,전주,
192,L1061400,남원,
193,L1070100,대구,
194,L1070300,구미,
195,L1070400,영천,
196,L1070500,경산,
197,L1070600,군위,
198,L1070700,청도,
199,L1070800,고령,
200,L1070900,성주,
201,L1071000,칠곡,
202,L1071100,김천,
203,L1071200,상주,
204,L1071300,문경,
205,L1071400,예천,
206,L1071500,안동,
207,L1071600,영주,
208,L1071700,의성,
209,L1071800,청송,
210,L1071910,영양평지,
211,L1072010,봉화평지,
212,L1072100,울릉도.독도,
213,L1072200,영덕,
214,L1072310,울진평지,
215,L1072400,포항,
216,L1072500,경주,
217,L1075020,경북북동산지,
218,L1080100,부산,
219,L1080300,울산,
220,L1080500,양산,
221,L1080600,창원,
222,L1080900,김해,
223,L1081000,밀양,
224,L1081100,의령,
225,L1081200,함안,
226,L1081300,창녕,
227,L1081400,진주,
228,L1081500,하동,
229,L1081600,산청,
230,L1081700,함양,
231,L1081800,거창,
232,L1081900,합천,
233,L1082000,통영,
234,L1082100,사천,
235,L1082200,거제,
236,L1082300,고성,
237,L1082400,남해,
238,L1090500,제주도산지,
239,L1090600,제주도서부,
240,L1090700,제주도북부,
241,L1090800,제주도동부,
242,L1090900,제주도남부,
243,L1091000,추자도,
244,L1040000,충청북도,
245,L1040100,청주,
246,L1040200,청원,
247,L1040300,보은,
248,L1040400,괴산,
249,L1040600,옥천,
250,L1040700,영동,
251,L1040800,충주,
252,L1040900,제천,
253,L1041000,진천,
254,L1041100,음성,
255,L1041200,단양,
256,L1041300,증평,
